end,isr_entry,iret,c_entry,c_exit,first_try_handle_mm_fault_with_mm_lock_end,first_try_handle_mm_fault_with_mm_lock_page_table_walk_end,first_try_handle_mm_fault_with_mm_lock_start,first_try_lock_mm_and_find_vma_end,first_try_lock_mm_and_find_vma_start,handle_mm_fault_with_vma_lock_end,handle_mm_fault_with_vma_lock_page_table_walk_end,handle_mm_fault_with_vma_lock_start,lock_vma_under_rcu_end,lock_vma_under_rcu_start,page_allocation_end,page_allocation_start,retry_handle_mm_fault_with_mm_lock_end,retry_handle_mm_fault_with_mm_lock_page_table_walk_end,retry_handle_mm_fault_with_mm_lock_start,retry_lock_mm_and_find_vma_end,retry_lock_mm_and_find_vma_start,wake_up_userfaultfd_end,wake_up_userfaultfd_start
10153,1455,9338,1906,8629,,,,,,8235,3423,2915,2673,2283,6181,3959,,,,,,,
10255,1458,9445,1923,8720,,,,,,8340,3467,2973,2728,2309,6303,4013,,,,,,,
10319,1465,9504,1920,8814,,,,,,8456,3429,2937,2694,2300,6189,3943,,,,,,,
29145,1463,28332,1936,27613,,,,,,27195,3539,3001,2722,2326,23992,4473,,,,,,,
10739,1479,9964,1956,9242,,,,,,8885,3531,3035,2749,2352,6649,4174,,,,,,,
10386,1464,9567,1927,8844,,,,,,8492,3585,2994,2703,2307,6343,4152,,,,,,,
10426,1454,9636,1921,8948,,,,,,8588,3427,2937,2693,2301,6809,4046,,,,,,,
9977,1458,9163,1913,8474,,,,,,8119,3424,2935,2691,2297,6294,4007,,,,,,,
10526,1501,9740,1956,9051,,,,,,8695,3457,2971,2726,2334,6831,4198,,,,,,,
11227,1508,10417,1967,9726,,,,,,9356,3462,2978,2734,2340,6785,4022,,,,,,,
10804,1462,9989,1921,9299,,,,,,8939,3465,2982,2736,2334,6987,4322,,,,,,,
13226,1463,12371,1940,11680,,,,,,11324,3494,2998,2755,2318,7896,4804,,,,,,,
10374,1456,9496,1911,8806,,,,,,8424,3476,2949,2708,2314,6447,4075,,,,,,,
12681,1475,11824,1930,11131,,,,,,10759,3439,2959,2716,2322,8119,4087,,,,,,,
12728,1481,11893,1960,11194,,,,,,10822,3575,3081,2799,2378,8324,4582,,,,,,,
12960,1459,12056,1916,11363,,,,,,11008,3463,2954,2712,2312,8188,4304,,,,,,,
13084,1469,12214,1930,11530,,,,,,11154,3480,2978,2734,2334,8054,4410,,,,,,,
12076,1485,11245,1948,10526,,,,,,10148,3488,3004,2764,2350,7678,4113,,,,,,,
29142,1479,28200,1978,27489,,,,,,27129,3591,3098,2807,2393,9488,4818,,,,,,,
13895,1499,12772,1966,12088,,,,,,11695,3467,2983,2740,2346,8135,4608,,,,,,,
12554,1522,11603,2013,10870,,,,,,10508,3638,3106,2860,2434,7849,4425,,,,,,,
13434,1491,12459,1984,11746,,,,,,11295,3595,3077,2797,2405,7716,4225,,,,,,,
12551,1461,11666,1918,10936,,,,,,10536,3441,2945,2698,2302,7806,4416,,,,,,,
11598,1527,10780,1982,10093,,,,,,9738,3498,3018,2774,2376,7119,4119,,,,,,,
10593,1457,9781,1912,9090,,,,,,8735,3425,2946,2702,2306,6642,4246,,,,,,,
10518,1467,9683,1924,8996,,,,,,8635,3441,2949,2708,2297,6539,4014,,,,,,,
10651,1466,9835,1925,9150,,,,,,8789,3445,2951,2707,2315,6762,4141,,,,,,,
12236,1461,11377,1930,10687,,,,,,10331,3500,3015,2726,2306,7457,4264,,,,,,,
12717,1468,11880,1943,11143,,,,,,10741,3510,3016,2736,2331,8561,5342,,,,,,,
13364,1461,12127,1928,11424,,,,,,11003,3490,3004,2761,2332,8791,5369,,,,,,,
13203,1467,12358,1932,11670,,,,,,11259,3409,2897,2649,2255,7934,4231,,,,,,,
14877,1518,13939,1991,13248,,,,,,12598,3579,3043,2795,2383,8818,4690,,,,,,,
14485,1495,13449,1956,12759,,,,,,12369,3482,3002,2757,2365,8812,4540,,,,,,,
13225,1466,12376,1931,11685,,,,,,11291,3410,2912,2671,2250,8202,4298,,,,,,,
16653,1483,15779,1965,15084,,,,,,14723,3713,3135,2836,2365,9391,4983,,,,,,,
12090,1470,11214,1929,10538,,,,,,10146,3516,3020,2776,2348,7808,4580,,,,,,,
12975,1466,12106,1932,11420,,,,,,11060,3569,3032,2772,2350,8371,4804,,,,,,,
12959,1489,12130,1964,11405,,,,,,10985,3544,3030,2784,2390,8177,4416,,,,,,,
13585,1480,12752,1950,12055,,,,,,11694,3532,3030,2782,2354,8744,4775,,,,,,,
13402,1471,12582,1932,11877,,,,,,11448,3569,2974,2728,2326,8458,4737,,,,,,,
13453,1495,12654,1988,11970,,,,,,11576,3587,3067,2823,2398,8064,4462,,,,,,,
14704,1460,13879,1923,13130,,,,,,12734,3542,3034,2736,2323,8478,4605,,,,,,,
14684,1491,13770,1964,13081,,,,,,12718,3543,3039,2751,2340,8834,4948,,,,,,,
11475,1455,10646,1920,9956,,,,,,9572,3573,3009,2716,2300,7435,4303,,,,,,,
10223,1478,9400,1940,8683,,,,,,8326,3528,3026,2732,2328,6353,4139,,,,,,,
10441,1468,9622,1921,8909,,,,,,8547,3461,2947,2706,2309,6561,4046,,,,,,,
11643,1461,10752,1916,10063,,,,,,9691,3439,2946,2702,2294,7847,4359,,,,,,,
9821,1454,9007,1909,8320,,,,,,7964,3453,2949,2704,2293,6195,4038,,,,,,,
72091,1463,71147,1922,70113,,,,,,69498,60966,3045,2803,2401,65340,62252,,,,,,,
51236,1479,50363,1999,49469,,,,,,48701,3687,3152,2848,2395,7300,4249,,,,,,,
12358,1460,11387,1934,10666,,,,,,10302,3420,2939,2651,2240,7355,4243,,,,,,,
10581,1462,9766,1917,9082,,,,,,8704,3449,2937,2693,2301,6404,4284,,,,,,,
10895,1466,10073,1923,9382,,,,,,9018,3402,2911,2663,2246,6557,4294,,,,,,,
10666,1458,9853,1915,9169,,,,,,8813,3424,2929,2683,2291,6869,3975,,,,,,,
10449,1464,9630,1921,8945,,,,,,8588,3727,2967,2724,2328,6494,4261,,,,,,,
10307,1462,9468,1920,8747,,,,,,8391,3433,2953,2708,2312,6380,3987,,,,,,,
10335,1469,9513,1926,8818,,,,,,8442,3541,3033,2783,2342,6565,4126,,,,,,,
10562,1466,9744,1919,9053,,,,,,8685,3463,2982,2736,2305,6916,4111,,,,,,,
11851,1467,11026,1938,10335,,,,,,9978,3531,2998,2716,2324,7449,4357,,,,,,,
10571,1458,9762,1913,9076,,,,,,8716,3427,2947,2701,2311,6573,4018,,,,,,,
10229,1468,9417,1923,8726,,,,,,8370,3473,2971,2730,2315,6477,4042,,,,,,,
10568,1458,9770,1913,9039,,,,,,8620,3465,2969,2728,2321,6585,4017,,,,,,,
10276,1462,9463,1917,8775,,,,,,8379,3426,2947,2703,2311,6175,3975,,,,,,,
10731,1482,9900,1950,9215,,,,,,8829,3465,2981,2732,2340,6729,4056,,,,,,,
10077,1460,9266,1915,8576,,,,,,8220,3447,2961,2717,2321,6339,4070,,,,,,,
10688,1467,9874,1936,9161,,,,,,8781,3484,3002,2756,2346,6533,4048,,,,,,,
36292,1458,35441,1932,34720,,,,,,34131,3555,2988,2706,2314,31344,4288,,,,,,,
11359,1461,10585,1950,9846,,,,,,9494,3510,2998,2751,2359,6921,4435,,,,,,,
11202,1472,10420,1935,9707,,,,,,9351,3471,2983,2734,2338,6749,4371,,,,,,,
11251,1458,10422,1917,9738,,,,,,9382,3457,2953,2712,2297,6977,4331,,,,,,,
11221,1463,10417,1916,9724,,,,,,9371,3738,2978,2736,2322,7616,4601,,,,,,,
10589,1454,9754,1919,9067,,,,,,8695,3757,3262,3016,2321,6680,4342,,,,,,,
10244,1463,9415,1918,8719,,,,,,8363,3462,2972,2718,2314,6220,4010,,,,,,,
10738,1479,9949,1940,9212,,,,,,8788,3543,2984,2743,2340,6649,4262,,,,,,,
11186,1454,10365,1909,9615,,,,,,9227,3510,2933,2693,2299,7040,4720,,,,,,,
11704,1464,10780,1958,10091,,,,,,9715,3471,2984,2738,2346,6837,4420,,,,,,,
11298,1461,10477,1922,9801,,,,,,9441,3476,2968,2722,2306,7595,4363,,,,,,,
12368,1467,11548,1928,10875,,,,,,10516,3445,2956,2712,2316,7670,4156,,,,,,,
11682,1461,10874,1926,10187,,,,,,9769,3498,3007,2706,2314,7002,4248,,,,,,,
11704,1466,10861,1931,10178,,,,,,9815,3471,2976,2730,2338,7339,4499,,,,,,,
22454,1463,21605,1944,20912,,,,,,20526,3490,2988,2733,2338,7431,4317,,,,,,,
11562,1497,10681,1963,9990,,,,,,9610,3523,3033,2749,2340,7228,4209,,,,,,,
12537,1495,11576,1956,10902,,,,,,10548,3557,3078,2785,2358,7221,4288,,,,,,,
11926,1489,11067,1973,10374,,,,,,10014,3569,3059,2767,2350,7203,4154,,,,,,,
10071,1469,9249,1926,8520,,,,,,8138,3549,3051,2759,2322,6228,4148,,,,,,,
11137,1464,10294,1921,9579,,,,,,9197,3441,2949,2661,2267,7016,4048,,,,,,,
11099,1454,10260,1922,9539,,,,,,9187,3427,2947,2702,2310,6817,4119,,,,,,,
11530,1481,10679,1940,9962,,,,,,9592,3492,3013,2722,2326,6748,4199,,,,,,,
10966,1458,10152,1927,9437,,,,,,9041,3402,2914,2652,2244,6770,3975,,,,,,,
10973,1465,10138,1920,9448,,,,,,9078,3474,2990,2704,2310,6531,4016,,,,,,,
12035,1467,11131,1922,10435,,,,,,10063,3526,3045,2801,2407,7800,4067,,,,,,,
12917,1503,12102,1978,11428,,,,,,11025,3607,3077,2785,2389,7704,4546,,,,,,,
10836,1462,10048,1921,9358,,,,,,9002,3536,2990,2703,2291,6540,4093,,,,,,,
11334,1458,10499,1919,9810,,,,,,9376,3455,2951,2703,2309,6506,4088,,,,,,,
10508,1458,9697,1913,9008,,,,,,8649,3477,2959,2718,2303,6770,4207,,,,,,,
10843,1465,9998,1924,9309,,,,,,8927,3427,2945,2704,2308,6795,4142,,,,,,,
11982,1509,10987,1980,10308,,,,,,9939,3546,3063,2819,2380,6768,4332,,,,,,,
10946,1467,10099,1920,9423,,,,,,9067,3477,2992,2746,2328,6730,4113,,,,,,,
11202,1476,10392,1937,9703,,,,,,9321,3443,2963,2719,2327,7337,4095,,,,,,,
12242,1479,11426,1966,10733,,,,,,10364,3597,3059,2767,2371,7463,4463,,,,,,,
10406,1464,9539,1929,8852,,,,,,8497,3599,3020,2734,2322,6579,4298,,,,,,,
11040,1461,10224,1916,9549,,,,,,9173,3470,2956,2714,2302,7051,4363,,,,,,,
11103,1495,10247,1954,9555,,,,,,9199,3567,3008,2752,2346,6906,4127,,,,,,,
11918,1471,11002,1946,10301,,,,,,9927,3462,2962,2716,2322,7569,4780,,,,,,,
10434,1464,9644,1925,8959,,,,,,8606,3487,3006,2711,2317,6315,4025,,,,,,,
10971,1457,10143,1916,9454,,,,,,9100,3460,2980,2692,2296,6624,4185,,,,,,,
11755,1471,10938,1932,10221,,,,,,9813,3480,2962,2716,2322,7160,4260,,,,,,,
12379,1459,11524,1938,10839,,,,,,10437,3588,3055,2767,2336,7118,4272,,,,,,,
10833,1459,10025,1926,9308,,,,,,8936,3691,3210,2964,2544,6785,4359,,,,,,,
12610,1464,11781,1921,11088,,,,,,10733,3434,2953,2709,2311,7450,4251,,,,,,,
10983,1471,10067,1938,9338,,,,,,8940,3563,3075,2787,2352,6795,4310,,,,,,,
24566,1458,23707,1915,22975,,,,,,22567,3469,2990,2699,2299,7245,4408,,,,,,,
11206,1454,10408,1919,9719,,,,,,9360,3532,3006,2719,2321,6678,4115,,,,,,,
10719,1461,9893,1920,9204,,,,,,8828,3470,2992,2698,2306,6785,4309,,,,,,,
12535,1471,11692,1942,10997,,,,,,10589,3534,3049,2754,2346,7684,4580,,,,,,,
11148,1489,10315,1958,9624,,,,,,9257,3622,3049,2771,2336,6791,4250,,,,,,,
10134,1458,9352,1924,8647,,,,,,8251,3439,2958,2704,2308,6372,4004,,,,,,,
11056,1476,9908,1962,9191,,,,,,8835,3542,3059,2768,2352,6788,4223,,,,,,,
10957,1461,10101,1922,9419,,,,,,9039,3449,2962,2718,2324,6671,4065,,,,,,,
11852,1456,10972,1925,10296,,,,,,9943,3445,2953,2711,2313,7497,4231,,,,,,,
10865,1473,10047,1932,9336,,,,,,8960,3540,2990,2700,2305,6782,4182,,,,,,,
10564,1462,9745,1915,9028,,,,,,8667,3443,2949,2705,2313,6487,4139,,,,,,,
11923,1456,10967,1911,10288,,,,,,9793,3488,2974,2730,2309,6961,4168,,,,,,,
11576,1479,10778,1938,9715,,,,,,9350,3439,2959,2718,2324,7123,4135,,,,,,,
11568,1460,10737,1919,10040,,,,,,9685,3453,2959,2712,2313,6979,4272,,,,,,,
10975,1457,10144,1914,9433,,,,,,9076,3474,2952,2706,2310,7061,4276,,,,,,,
10796,1473,9985,1928,9309,,,,,,8935,3449,2955,2710,2318,6969,4152,,,,,,,
10890,1465,10039,1924,9362,,,,,,9003,3492,3013,2720,2314,6577,4087,,,,,,,
10699,1461,9890,1924,9171,,,,,,8816,3504,3009,2722,2312,6738,4280,,,,,,,
11212,1464,10398,1936,9685,,,,,,9329,3522,3006,2718,2320,6737,4152,,,,,,,
10514,1458,9616,1915,8941,,,,,,8580,3573,2994,2710,2313,6622,4150,,,,,,,
11007,1462,10191,1921,9343,,,,,,8982,3443,2951,2707,2311,6508,4146,,,,,,,
12446,1459,11623,1928,10910,,,,,,10556,3683,3163,2870,2330,8030,4788,,,,,,,
11048,1465,10230,1920,9515,,,,,,9161,3594,3029,2724,2316,6671,4223,,,,,,,
10563,1461,9718,1918,9027,,,,,,8672,3431,2952,2708,2312,6543,3980,,,,,,,
10851,1460,10032,1913,9342,,,,,,8986,3408,2921,2681,2285,6902,4026,,,,,,,
10904,1457,10081,1916,9397,,,,,,9019,3465,2984,2738,2322,6787,4215,,,,,,,
11095,1465,10266,1944,9578,,,,,,9200,3533,3005,2714,2318,6393,4106,,,,,,,
11499,1481,10673,1938,9976,,,,,,9602,3517,3009,2722,2326,7148,4303,,,,,,,
10729,1468,9898,1923,9213,,,,,,8858,3491,3004,2717,2319,6817,4273,,,,,,,
11790,1495,10880,1959,10201,,,,,,9846,3480,2988,2745,2349,6976,4057,,,,,,,
10502,1481,9647,1950,8970,,,,,,8613,3457,2976,2734,2336,6667,4097,,,,,,,
22695,1458,21856,1919,21182,,,,,,20822,3477,2988,2742,2344,6682,4013,,,,,,,
13012,1477,12124,1966,11407,,,,,,11013,3528,3031,2783,2389,7908,4438,,,,,,,
12655,1479,11753,1946,11055,,,,,,10642,3718,3175,2901,2483,7612,4540,,,,,,,
12457,1468,11574,1956,10895,,,,,,10530,3554,3018,2774,2368,7863,4436,,,,,,,
11951,1462,11102,1935,10395,,,,,,10032,3560,3034,2742,2323,7434,4491,,,,,,,
13557,1495,12616,1999,11942,,,,,,11576,3563,3074,2781,2385,7963,4463,,,,,,,
12966,1514,12137,2007,11455,,,,,,11032,3577,3068,2822,2426,8134,4814,,,,,,,
11651,1471,10818,1952,10101,,,,,,9732,3477,2990,2750,2352,7258,4138,,,,,,,
14188,1538,13250,2001,12553,,,,,,12175,3703,3051,2801,2407,8986,4778,,,,,,,
13520,1520,12633,2009,11946,,,,,,11580,3693,3179,2889,2446,8668,5229,,,,,,,
11028,1463,10216,1920,9515,,,,,,9157,3486,3001,2710,2306,6671,4055,,,,,,,
11475,1458,10662,1926,9945,,,,,,9565,3504,3018,2730,2336,7120,4359,,,,,,,
11310,1453,10467,1910,9775,,,,,,9423,3456,2948,2696,2298,6730,4075,,,,,,,
11826,1464,10989,1934,10302,,,,,,9943,3453,2974,2728,2332,7453,4412,,,,,,,
12553,1501,11696,1978,11007,,,,,,10629,3546,3045,2754,2362,7808,4426,,,,,,,
11044,1467,10205,1922,9490,,,,,,9135,3655,3147,2856,2442,7075,4286,,,,,,,
12757,1459,11944,1916,11270,,,,,,10912,3522,3009,2722,2300,7583,4278,,,,,,,
11997,1456,11160,1962,10449,,,,,,10077,3549,3055,2764,2366,6738,4197,,,,,,,
11357,1469,10536,1934,9823,,,,,,9462,3484,3005,2714,2320,7004,4298,,,,,,,
10812,1469,9994,1924,9305,,,,,,8944,3449,2958,2714,2318,6982,3971,,,,,,,
11607,1454,10739,1909,10055,,,,,,9701,3417,2929,2689,2293,7233,4351,,,,,,,
12062,1457,11194,1916,10506,,,,,,10124,3423,2946,2702,2308,7104,4020,,,,,,,
12022,1464,11198,1941,10515,,,,,,10158,3510,3008,2717,2321,7562,4369,,,,,,,
10153,1465,9342,1928,8664,,,,,,8308,3454,2962,2712,2318,6385,4083,,,,,,,
10987,1475,10199,1944,9484,,,,,,9092,3476,2988,2743,2348,6443,3992,,,,,,,
11007,1464,10217,1950,9502,,,,,,8939,3457,2978,2734,2336,6354,4089,,,,,,,
11480,1460,10684,1919,9975,,,,,,9620,3581,2975,2707,2311,6967,4219,,,,,,,
10869,1450,10083,1905,9400,,,,,,9043,3432,2951,2705,2311,6177,4050,,,,,,,
11507,1460,10300,1917,9585,,,,,,9230,3459,2971,2727,2331,6790,4162,,,,,,,
10961,1465,10175,1926,9444,,,,,,9046,3480,2978,2734,2342,6665,4055,,,,,,,
12102,1497,11225,1967,10528,,,,,,10169,3541,3027,2736,2338,7333,4189,,,,,,,
25011,1461,24170,1922,23453,,,,,,23071,3532,3012,2720,2308,6468,4150,,,,,,,
10386,1467,9596,1926,8923,,,,,,8550,3533,3049,2755,2340,6466,4113,,,,,,,
10908,1458,10121,1917,9400,,,,,,9047,3439,2961,2697,2303,6843,3981,,,,,,,
11205,1493,10415,1950,9704,,,,,,9350,3486,3005,2761,2344,6785,4142,,,,,,,
10705,1463,9915,1922,9202,,,,,,8830,3370,2883,2629,2227,6594,3992,,,,,,,
13266,1475,12452,1954,11725,,,,,,11355,3760,3100,2854,2385,8058,4581,,,,,,,
17280,1481,16283,1952,15596,,,,,,15233,3571,3039,2795,2361,10536,5129,,,,,,,
14292,1475,13091,1956,12399,,,,,,11944,3632,3008,2756,2366,8769,4637,,,,,,,
11186,1460,10371,1919,9654,,,,,,9299,3477,2937,2693,2303,7192,4178,,,,,,,
10712,1456,9880,1913,9162,,,,,,8801,3481,2996,2705,2289,6432,4007,,,,,,,
10684,1460,9868,1919,9148,,,,,,8769,3433,2947,2699,2307,6678,3985,,,,,,,
10550,1462,9679,1923,8962,,,,,,8606,3432,2947,2703,2311,6441,3959,,,,,,,
10835,1457,10020,1912,9297,,,,,,8932,3480,2976,2716,2298,6657,4122,,,,,,,
11012,1455,10201,1926,9478,,,,,,9086,3452,2944,2700,2306,6805,4252,,,,,,,
11422,1471,10603,1926,9886,,,,,,9512,3477,2984,2742,2346,7329,4182,,,,,,,
11401,1463,10544,1936,9850,,,,,,9492,3522,3041,2797,2338,7006,4359,,,,,,,
10211,1466,9321,1925,8622,,,,,,8267,3463,2949,2709,2315,6248,4005,,,,,,,
9988,1463,9173,1938,8463,,,,,,8081,3484,3005,2761,2346,6151,4014,,,,,,,
10780,1460,9963,1919,9248,,,,,,8874,3477,2984,2738,2325,6611,4068,,,,,,,
24956,1454,24155,1927,23440,,,,,,23063,3481,2998,2713,2315,20458,4095,,,,,,,
11647,1466,10861,1925,10142,,,,,,9786,3467,2961,2717,2315,7060,4227,,,,,,,
11570,1451,10681,1910,9988,,,,,,9628,3594,2956,2696,2302,7376,4120,,,,,,,
11233,1458,10394,1931,9610,,,,,,9242,3453,2973,2730,2328,6670,4109,,,,,,,
12649,1455,11802,1920,11107,,,,,,10752,3510,2990,2694,2302,7709,4425,,,,,,,
10673,1487,9858,1944,9180,,,,,,8822,3449,2968,2720,2328,6716,3992,,,,,,,
10551,1465,9734,1942,9019,,,,,,8641,3437,2958,2710,2316,6384,3969,,,,,,,
10998,1457,10177,1912,9460,,,,,,9100,3486,3003,2745,2310,6787,4173,,,,,,,
10450,1462,9607,1917,8911,,,,,,8521,3449,2953,2709,2315,6492,4074,,,,,,,
11871,1483,11050,1940,10339,,,,,,9974,3502,3008,2722,2324,7530,4095,,,,,,,
11205,1455,10348,1916,9655,,,,,,9293,3464,2962,2718,2300,6695,4132,,,,,,,
11507,1454,10697,1911,9982,,,,,,9626,3439,2962,2718,2297,6914,4203,,,,,,,
24235,1464,23422,1919,22746,,,,,,22360,3473,2992,2699,2303,6528,4042,,,,,,,
11778,1508,10955,1981,10266,,,,,,9627,3523,3035,2789,2359,7018,4195,,,,,,,
11003,1467,10148,1944,9456,,,,,,9076,3488,3004,2759,2328,6795,4308,,,,,,,
10526,1471,9602,1956,8883,,,,,,8487,3539,3037,2783,2358,6531,4156,,,,,,,
11282,1462,10455,1926,9744,,,,,,9360,3510,3027,2740,2318,6892,4190,,,,,,,
10312,1454,9480,1929,8807,,,,,,8425,3483,2990,2744,2330,6335,4074,,,,,,,
11273,1462,10416,1919,9742,,,,,,9364,3603,2949,2703,2307,6999,4296,,,,,,,
10575,1461,9756,1932,9078,,,,,,8724,3484,2956,2710,2316,6539,4010,,,,,,,
12313,1482,11427,1960,10735,,,,,,10379,3579,3093,2799,2354,7599,4318,,,,,,,
11137,1489,10258,1950,9567,,,,,,9208,3616,3018,2726,2287,7075,4259,,,,,,,
10558,1462,9701,1915,9010,,,,,,8653,3599,3026,2736,2305,6750,4237,,,,,,,
