isr_entry,c_entry,first_try_lock_mm_and_find_vma_start,first_try_handle_mm_fault_with_mm_lock_start,first_try_handle_mm_fault_with_mm_lock_page_table_walk_end,page_allocation_start,page_allocation_end,first_try_handle_mm_fault_with_mm_lock_end,c_exit,iret,end
505,352,213,87,200,144,930,453,144,140,271
504,352,215,87,333,181,1050,770,152,139,270
510,349,215,86,201,150,1044,723,150,141,272
504,350,215,87,167,146,837,443,154,138,270
503,348,213,87,169,150,784,2247,148,151,266
506,357,217,84,170,145,1123,920,148,122,274
499,350,217,85,167,150,896,449,148,128,279
510,347,215,86,166,144,772,451,148,126,281
500,348,215,85,167,144,908,455,148,120,274
498,349,214,87,167,148,1292,441,148,130,268
500,349,214,83,169,144,1078,447,145,127,271
502,351,215,84,166,144,1308,455,147,128,270
502,353,214,87,166,149,1070,453,148,120,270
496,353,216,85,165,148,1259,461,141,130,276
500,351,217,84,168,146,5036,485,159,134,266
500,349,217,84,170,148,862,485,146,120,276
499,350,215,87,171,144,874,491,148,128,279
499,348,217,83,177,142,1160,473,143,119,273
502,349,214,87,173,148,922,494,148,120,272
500,351,215,86,170,148,1231,1932,155,121,269
501,350,215,85,169,148,790,490,152,118,270
503,346,217,87,169,148,910,480,148,118,272
498,354,215,87,171,154,961,461,148,120,270
503,350,215,85,167,148,1048,447,143,130,270
502,349,216,83,171,150,997,449,153,127,279
500,349,214,85,168,143,995,455,150,122,276
499,350,215,83,171,144,896,453,154,118,276
500,347,217,86,164,145,1300,442,151,122,274
500,351,212,87,167,144,1192,457,149,123,269
506,351,213,88,166,146,900,451,155,119,277
504,347,217,86,168,146,996,449,146,130,268
498,351,215,86,166,150,1284,457,147,123,275
502,349,214,85,167,144,784,455,154,120,268
499,350,213,87,165,146,1028,451,152,122,276
501,348,217,85,252,181,1528,1913,152,139,270
503,350,215,87,167,146,1004,448,149,140,276
502,351,215,84,170,144,1016,451,146,138,307
502,349,217,84,170,144,888,522,144,138,273
498,351,214,85,166,149,875,455,146,141,276
500,349,215,86,168,146,937,445,142,142,268
509,348,215,85,169,146,906,498,148,150,273
508,349,216,83,166,153,826,449,149,142,272
501,348,215,83,169,152,1152,498,142,128,278
506,348,213,87,169,150,1006,442,141,123,267
504,349,215,84,172,147,1044,457,152,122,274
506,350,223,87,171,148,935,457,154,120,278
505,346,217,87,169,148,920,441,150,120,270
508,351,215,86,170,146,996,453,152,120,270
506,351,218,83,166,151,892,725,148,122,276
504,349,214,87,167,146,1080,2119,154,120,270
504,349,215,86,168,146,1022,449,146,130,283
504,347,215,86,166,147,883,459,146,120,275
506,347,216,85,168,151,1255,451,148,120,270
502,349,217,84,168,152,1061,459,146,122,270
508,349,218,83,166,151,975,451,146,120,272
502,351,215,84,168,150,1363,447,155,119,279
499,352,215,85,169,148,1195,449,154,122,270
498,353,214,87,169,146,1085,448,145,128,272
502,349,214,87,167,142,1044,453,148,120,276
504,351,214,87,168,145,1007,443,152,120,307
500,351,214,83,166,145,993,443,146,128,270
501,348,217,83,169,146,989,461,143,119,269
502,349,217,84,166,147,853,451,150,118,272
506,349,216,87,162,147,1064,459,148,122,266
500,349,217,86,164,151,1267,1889,150,130,279
509,348,213,87,165,150,870,461,148,120,278
504,352,213,87,169,148,851,461,147,123,267
506,351,215,86,250,146,853,455,146,120,276
506,347,214,87,166,143,871,445,146,120,276
508,347,216,85,170,143,1042,449,152,122,266
504,349,218,83,167,144,875,449,150,122,279
502,347,217,84,170,149,962,445,146,120,277
500,351,217,84,168,147,914,469,152,128,278
504,351,215,86,170,153,867,660,151,117,279
501,350,215,87,169,148,1197,453,142,122,268
502,351,216,87,169,142,963,448,143,122,274
504,347,217,84,168,147,981,465,146,132,266
503,348,217,85,169,144,3599,492,148,132,281
501,348,215,83,171,148,1375,441,154,120,275
499,348,215,87,165,146,1260,1905,146,130,268
506,347,216,85,168,157,1237,457,148,122,274
502,349,216,85,166,153,892,455,140,132,268
505,348,215,87,167,148,957,449,144,120,282
504,353,215,88,166,149,1021,459,147,130,272
502,351,213,86,166,147,997,453,142,122,276
504,349,215,88,170,149,916,449,150,130,268
504,349,213,88,164,149,1003,457,148,120,270
504,349,214,87,165,148,1017,441,140,122,516
504,347,216,85,169,150,890,451,146,130,272
505,350,213,87,165,148,1371,457,149,119,273
504,351,216,83,173,146,884,459,148,132,270
508,347,216,85,167,148,938,459,147,122,278
504,351,215,86,166,146,1315,463,148,124,274
506,352,215,83,171,160,959,443,144,120,270
508,349,213,88,166,149,889,1855,152,120,276
505,350,217,83,167,150,831,451,148,122,274
502,347,214,87,169,156,1003,453,143,121,269
505,350,217,83,167,150,1075,455,146,124,268
508,349,214,87,165,148,1011,455,143,120,276
504,350,217,85,167,144,928,443,150,120,268
501,350,215,87,295,146,991,455,147,122,268
501,348,215,87,167,181,926,481,149,138,278
506,351,219,84,168,157,1137,469,145,140,274
499,348,217,87,163,150,849,459,145,140,270
516,349,238,128,187,150,774,546,148,145,282
514,358,219,89,171,157,972,606,150,140,279
516,357,220,89,171,152,871,464,148,152,285
512,357,222,87,175,150,1406,469,148,146,275
514,356,223,85,171,152,734,469,150,146,281
514,359,220,87,171,150,941,2106,154,143,284
516,359,220,87,173,150,969,469,154,141,280
512,360,221,88,172,153,1289,466,148,146,280
530,366,226,91,177,160,1056,482,150,138,293
524,370,228,89,177,154,1020,483,150,137,292
532,372,227,90,183,158,1308,476,152,130,294
538,369,228,89,179,150,998,483,153,128,282
534,370,227,90,176,153,896,485,156,128,285
528,368,227,92,175,156,922,524,161,136,294
534,369,228,89,177,156,925,479,156,143,286
530,366,229,90,173,152,1058,463,153,138,284
528,368,227,88,178,151,928,479,155,136,286
532,368,227,90,174,159,1070,482,152,128,291
536,370,227,89,181,151,1044,483,156,137,290
524,371,228,89,175,156,1024,485,151,136,290
526,369,226,91,179,152,918,1989,156,135,284
534,369,228,89,177,152,878,481,155,126,292
530,369,226,91,177,152,1382,485,155,138,292
528,367,228,89,177,158,910,480,156,128,295
532,370,227,91,177,157,1113,479,161,138,290
532,370,229,89,175,157,1314,479,155,130,292
529,367,230,91,175,152,890,485,155,128,288
563,390,244,95,187,169,993,506,166,136,313
562,390,240,97,185,167,930,500,168,136,309
561,392,242,95,254,199,1156,510,166,144,303
564,390,240,97,191,163,1341,511,167,136,305
562,390,240,96,188,161,1077,507,165,136,307
561,390,238,97,187,167,1176,512,166,136,305
563,390,239,98,183,162,1193,515,163,134,309
559,390,242,95,185,167,1387,520,175,134,304
560,392,242,93,187,161,938,2088,169,136,309
560,390,238,96,184,181,3640,510,171,148,307
560,390,244,96,185,160,965,530,158,147,302
557,390,242,95,191,169,956,506,169,136,301
563,388,242,95,185,164,1292,512,165,134,306
561,392,240,97,185,164,837,506,165,146,302
565,392,240,95,191,165,873,496,160,144,311
583,398,252,96,193,166,918,523,168,142,317
577,404,246,99,191,169,800,534,169,152,315
575,402,248,98,195,172,857,531,170,149,318
585,400,250,98,191,164,975,524,167,140,321
570,403,247,100,195,166,919,538,166,147,319
575,404,248,97,191,173,1007,530,175,140,323
575,402,248,99,195,171,1058,526,169,146,313
579,402,248,101,193,173,910,520,175,138,331
574,405,245,100,193,166,931,2232,169,150,311
581,400,248,99,191,165,851,526,170,138,313
579,404,248,99,191,171,1084,514,173,148,309
575,402,248,99,189,167,1056,526,165,148,325
579,398,248,101,189,169,1088,527,164,150,319
575,402,252,96,191,170,1180,772,165,150,311
577,400,246,100,191,182,986,684,169,150,317
573,402,250,99,189,169,1430,524,174,138,317
599,413,254,101,197,177,967,640,179,144,329
594,416,256,99,204,170,989,543,170,143,322
595,415,255,102,197,173,991,546,171,144,319
597,414,256,102,197,173,1029,549,175,144,331
600,414,256,103,273,187,1326,554,179,144,323
591,416,256,102,201,173,1322,528,177,144,317
597,413,256,103,195,179,857,872,172,179,335
614,431,264,105,209,179,1095,2604,189,185,615
611,429,262,105,207,183,1095,557,188,181,337
614,432,262,104,207,179,950,683,177,170,344
614,426,266,104,207,181,922,542,187,183,333
622,436,266,102,207,179,1162,560,181,173,337
617,427,266,105,208,176,914,701,183,181,331
617,618,264,105,203,183,894,924,183,154,340
616,430,264,106,205,181,1349,721,187,156,339
618,430,262,104,211,179,989,557,182,147,353
615,429,264,107,207,179,949,560,175,148,338
616,431,264,134,229,283,1450,589,195,191,372
633,443,272,108,207,185,1229,1085,189,170,342
629,443,272,252,216,188,1047,733,187,172,354
638,442,270,108,217,183,1335,577,187,154,353
638,445,268,109,403,188,1705,737,181,152,354
632,445,272,108,215,185,1320,3555,195,162,352
636,445,274,108,209,327,1219,581,181,164,350
763,445,270,110,215,283,1304,1068,187,163,357
617,441,274,124,211,295,1131,957,187,164,646
638,443,272,110,215,291,1324,762,400,164,638
617,441,272,108,217,187,1863,1182,183,152,344
792,479,364,128,302,273,1149,780,232,203,376
611,443,274,108,211,189,1180,739,183,152,352
612,442,273,107,216,243,1016,910,187,172,344
615,443,270,110,215,183,973,749,179,153,357
998,540,270,110,207,284,967,731,177,167,357
632,439,274,108,209,187,1225,581,186,161,341
654,457,282,114,222,197,1192,788,187,169,365
664,455,282,114,221,199,1093,587,199,169,353
660,459,281,115,222,193,1269,805,184,163,579
652,455,283,111,699,201,1323,3548,195,165,355
654,455,280,114,219,193,1101,587,187,169,361
657,459,282,114,217,532,1215,792,191,171,369
640,455,284,114,219,352,1318,808,185,159,353
642,455,286,110,221,191,8651,587,193,165,362
729,475,307,126,272,248,1298,845,278,179,443
683,473,292,116,228,201,993,628,199,174,378
660,473,290,116,228,197,1074,618,193,174,380
682,471,293,116,225,203,969,610,195,176,406
654,473,294,116,230,197,1485,629,208,176,366
677,471,297,117,234,201,1135,626,209,163,370
652,471,295,113,228,203,1062,614,193,176,374
683,473,288,116,228,195,973,619,195,163,373
677,473,288,116,230,199,936,610,195,174,376
648,476,292,118,226,207,985,609,195,161,378
678,476,288,120,225,197,1093,3002,202,164,366
683,471,296,114,228,197,1135,607,199,165,368
656,475,293,113,234,193,1420,613,201,165,367
656,475,291,113,228,197,1054,630,199,179,378
686,478,292,116,230,400,999,626,195,164,378
680,477,293,116,225,205,1469,792,201,165,369
678,475,291,116,227,193,1656,627,197,175,368
678,486,304,118,236,201,1436,638,203,171,388
707,495,303,120,233,211,1430,646,208,172,382
682,492,307,120,233,209,1439,645,208,168,390
680,490,303,121,232,205,1424,648,205,171,390
681,491,303,122,229,218,1505,642,201,183,392
675,491,303,120,237,203,1467,644,209,183,382
703,510,319,124,242,213,2259,960,210,219,408
735,510,315,124,244,219,1310,1120,209,217,400
737,510,315,126,242,217,1178,3299,225,220,406
731,512,314,124,244,238,1011,705,209,220,412
737,510,315,124,239,212,1090,654,214,205,404
742,509,315,126,384,213,1528,816,212,217,408
707,510,313,124,244,219,1525,841,218,219,404
705,510,315,124,246,215,1141,849,220,219,406
711,510,315,124,246,219,1292,780,221,205,409
707,514,317,124,244,219,1588,695,211,218,396
729,510,315,124,246,223,1462,648,216,207,516
734,507,315,124,246,231,1008,664,211,218,412
731,514,319,124,250,221,1351,658,211,220,406
739,512,315,124,248,223,1430,658,213,204,406
760,532,325,130,256,222,1489,696,216,229,421
774,530,327,130,252,225,1576,691,223,214,430
737,529,325,130,257,220,1489,694,216,211,437
735,531,329,128,252,227,1483,3016,218,227,427
735,533,327,130,252,239,1511,687,223,210,426
739,530,323,130,260,218,1495,761,218,211,420
736,530,325,130,258,223,1495,735,218,213,423
762,532,331,130,256,222,1673,701,220,231,419
772,532,327,130,258,218,1566,705,217,211,425
747,531,325,130,253,220,1099,696,218,215,425
733,528,327,134,248,229,1266,701,223,201,419
740,532,329,130,250,309,1092,687,227,185,421
770,530,329,132,256,223,1219,695,227,181,421
755,532,325,130,258,228,1152,717,231,183,414
766,528,329,130,258,224,1121,680,230,197,423
760,534,327,128,258,220,1149,681,221,183,424
733,528,327,128,254,238,1174,709,221,197,410
735,532,331,130,256,224,1127,691,219,185,422
738,530,327,130,260,219,1538,3016,216,182,425
730,530,327,130,256,219,1528,688,222,185,424
733,534,327,130,254,220,1752,720,223,197,423
768,530,331,130,256,222,1521,691,223,185,418
742,532,325,130,252,219,1483,674,224,184,421
705,511,315,124,246,211,1162,664,224,189,406
711,510,316,128,327,218,1160,658,217,177,398
709,510,317,124,248,213,8560,765,216,193,412
705,508,316,124,250,211,1026,648,216,190,421
744,512,313,126,245,218,958,677,209,179,406
703,492,300,122,234,203,1487,642,207,166,394
684,492,302,122,238,205,1428,644,207,171,388
680,494,305,120,241,212,1062,792,207,187,378
689,493,301,120,240,205,1060,648,205,167,392
683,493,301,120,235,204,1157,644,203,169,390
685,491,301,122,237,208,1216,2714,209,167,386
677,495,303,120,240,205,1113,628,209,211,390
681,492,304,120,238,294,1044,845,224,191,394
674,492,305,121,240,209,1079,640,209,171,390
679,489,305,118,235,208,1078,626,201,171,377
680,490,300,122,240,201,1143,640,209,181,386
681,493,301,120,240,203,1162,627,207,179,382
686,490,302,122,238,209,1459,633,218,182,390
681,489,305,118,241,205,1546,650,203,173,380
678,492,302,120,240,227,1274,642,205,183,388
677,491,303,120,236,207,1474,644,201,183,396
678,492,302,120,242,205,1180,636,201,173,390
680,492,303,120,245,208,1304,648,201,184,393
676,496,303,118,235,201,1148,636,207,185,392
632,457,286,108,219,189,1430,602,195,172,362
632,461,284,110,221,191,1398,2783,195,160,362
633,455,285,112,223,191,1568,593,193,159,365
630,457,280,114,215,193,1138,1024,195,166,358
629,457,281,111,220,191,1076,585,201,169,362
630,461,282,110,217,191,1398,841,187,156,366
634,457,282,110,221,195,973,595,185,171,353
633,462,282,112,215,195,1481,583,187,170,358
636,457,282,114,217,195,1463,595,187,170,356
639,455,283,112,217,191,1442,601,193,161,363
634,459,280,112,296,189,1176,593,187,159,351
631,457,281,111,222,191,1013,606,193,174,362
611,439,276,108,215,185,1369,581,181,191,351
618,441,272,108,211,183,1448,573,189,154,349
613,443,272,110,215,185,1064,577,181,160,342
614,442,273,107,214,195,1001,672,185,157,351
612,443,270,109,212,187,1289,2401,195,163,343
620,441,272,108,215,181,1111,583,181,154,349
617,443,274,108,209,189,1138,562,193,163,349
613,441,274,108,209,193,1418,585,186,165,351
611,443,274,108,215,181,1393,557,185,162,350
617,441,272,108,211,183,1109,581,181,152,343
607,443,270,110,211,187,1223,617,185,155,343
611,443,272,108,215,185,1410,581,181,150,351
615,443,274,108,217,183,1708,585,179,156,338
612,443,272,108,217,187,1389,589,181,160,352
611,443,272,110,215,195,1091,568,187,151,357
612,447,272,108,213,189,1097,570,187,157,343
573,412,258,102,199,172,1057,528,176,143,323
573,415,253,102,199,179,1080,604,183,144,321
573,411,256,101,197,175,1247,548,175,144,321
571,414,254,103,200,172,947,2194,176,144,330
592,414,256,103,197,179,1384,548,177,144,331
599,412,254,102,197,175,1290,548,173,142,329
597,415,256,101,199,171,1241,577,173,146,329
575,418,252,102,195,176,977,535,170,144,332
597,411,258,101,201,175,1349,534,169,144,327
591,415,256,101,197,179,1174,536,169,144,329
575,414,254,102,197,174,1014,544,181,142,333
574,413,258,101,195,171,1030,682,171,144,325
555,402,248,99,191,181,1052,676,169,142,315
555,402,248,99,191,171,6725,527,172,151,327
557,402,248,99,195,167,1235,522,164,149,319
559,404,248,99,262,169,1079,528,164,149,316
551,402,250,99,195,169,979,530,169,150,321
561,402,250,97,195,169,859,687,175,134,319
564,403,245,100,195,171,1375,2823,175,140,311
557,402,248,99,195,163,1086,520,171,148,321
553,402,248,101,191,171,987,520,171,148,313
552,405,245,100,193,181,1013,524,167,150,319
556,403,284,120,294,171,1022,631,169,118,325
552,400,250,118,205,167,883,524,169,138,319
559,402,250,97,193,165,995,516,169,148,311
551,402,248,99,195,165,1361,512,168,141,308
550,405,250,97,197,171,1320,532,169,148,317
555,404,252,97,193,171,1424,524,175,148,317
554,400,250,98,193,172,1479,532,169,150,317
555,400,248,97,193,171,1326,545,170,148,319
523,377,236,95,179,161,1137,494,160,142,295
524,381,232,95,185,155,1103,495,163,140,301
526,380,235,92,185,160,1310,490,160,140,293
522,380,235,92,180,175,932,2054,163,142,296
524,380,234,95,183,156,975,731,155,140,295
526,380,235,94,183,160,1440,1034,161,138,305
541,377,238,90,180,163,914,676,165,132,296
528,371,228,91,177,152,1313,481,154,136,293
532,368,229,90,178,159,1022,469,158,126,291
530,368,231,89,177,157,934,465,150,137,288
536,368,231,88,183,152,906,485,155,128,290
514,369,230,91,175,152,918,488,156,136,291
510,369,230,89,181,152,992,483,156,138,293
510,366,229,90,180,157,1316,480,154,136,295
508,368,229,92,181,154,1385,494,156,128,289
513,368,228,91,175,154,904,485,157,134,294
510,370,233,88,179,158,936,722,158,130,290
510,368,229,92,176,157,1007,476,162,138,293
514,372,229,88,459,158,961,2007,162,128,305
510,370,229,90,180,155,1042,473,158,126,293
510,366,231,90,180,153,1028,477,158,126,295
516,368,231,90,178,155,1111,473,153,134,294
512,369,228,91,177,152,1189,469,158,136,291
510,371,228,89,179,157,1373,772,154,138,329
512,367,230,91,179,152,1318,464,154,136,291
512,366,230,89,179,152,1075,473,156,140,295
514,368,227,90,181,154,1215,475,148,138,285
510,370,229,90,178,155,1103,491,157,136,292
504,368,231,88,180,151,1334,478,154,136,290
504,368,231,90,176,153,1033,486,156,136,293
512,370,229,90,180,155,1357,479,152,134,553
512,365,228,91,175,156,1408,488,156,136,524
484,349,217,86,170,360,1284,453,148,130,268
482,349,218,85,170,145,908,2057,149,128,278
485,349,218,83,171,359,1091,445,152,130,270
483,350,217,87,169,148,890,449,146,132,268
486,353,218,85,166,147,896,452,147,132,274
481,349,218,87,169,144,1020,446,149,128,266
488,351,220,83,169,148,1048,453,142,122,272
487,348,217,85,165,150,878,447,146,122,274
481,347,216,87,169,154,867,451,147,119,273
483,350,215,87,171,144,1406,465,148,122,272
481,347,218,85,169,148,1038,453,148,132,276
487,350,221,84,166,148,1298,455,149,128,278
483,349,220,85,171,148,908,672,151,128,274
488,349,217,88,170,147,918,459,150,120,278
484,351,217,86,170,149,5827,449,146,128,277
483,350,217,85,169,150,876,457,142,120,280
483,349,216,87,165,150,916,2092,144,120,277
483,347,220,83,169,144,896,446,149,136,278
481,351,216,87,167,152,959,457,148,122,276
490,349,216,85,229,143,855,461,144,120,268
482,347,218,83,174,151,922,457,146,130,277
478,347,218,85,168,149,837,448,149,120,274
487,350,217,86,166,146,923,446,147,128,278
490,349,217,84,168,149,1259,447,148,120,276
489,347,220,85,169,148,1030,465,146,120,282
481,352,219,86,168,146,1349,459,149,130,276
486,349,220,85,166,151,1072,457,142,133,270
483,350,217,83,169,146,1030,443,144,120,270
481,348,219,87,167,146,1026,461,154,128,270
483,350,215,85,169,148,914,447,151,128,274
481,348,217,85,169,146,1298,453,144,120,268
482,349,216,87,169,144,1032,2037,144,120,272
484,347,217,88,168,144,1083,451,148,130,268
483,351,218,83,167,146,999,453,146,124,277
487,350,219,83,173,146,971,453,150,128,281
480,353,218,85,168,149,993,447,150,120,272
490,351,216,85,171,146,1001,445,154,137,276
481,350,217,87,169,144,1465,449,146,128,272
484,353,215,86,166,149,1228,447,142,128,271
479,350,217,85,169,144,1353,447,144,130,266
481,348,217,85,167,146,1007,458,148,122,274
482,351,218,85,166,149,1324,451,146,138,275
485,350,217,87,165,146,955,453,146,124,266
490,349,217,86,170,146,1341,449,146,122,270
486,353,217,84,172,147,1361,463,146,136,270
483,349,218,85,169,142,944,449,149,122,266
480,349,217,86,170,157,1042,1873,148,130,268
485,347,218,85,165,152,971,443,146,120,270
483,348,217,85,169,146,1038,453,148,120,276
479,350,215,87,171,142,1365,455,142,124,277
481,349,218,87,169,144,1176,638,148,122,274
478,351,217,88,168,147,1308,441,148,120,270
484,349,217,86,229,144,975,453,151,122,272
486,351,215,86,172,157,965,457,148,130,274
481,352,219,87,173,146,1050,488,150,120,274
483,350,217,87,167,154,805,471,148,130,272
483,348,217,87,169,250,875,463,149,119,315
490,347,218,87,169,152,900,522,144,122,286
483,349,218,85,171,144,1038,453,148,122,278
484,351,217,86,172,147,1206,453,144,122,272
486,351,215,88,168,144,933,443,142,130,274
489,350,215,87,167,146,1174,2046,146,122,278
478,351,217,86,170,145,804,449,140,122,276
483,351,216,85,169,146,833,457,148,130,270
486,347,219,84,172,147,1029,455,143,119,273
481,347,220,83,173,144,1013,443,147,132,278
479,350,219,85,173,144,953,459,142,122,276
481,350,217,85,167,146,965,455,146,132,277
488,347,217,84,174,143,1044,449,144,122,274
486,349,215,86,170,145,1137,672,139,130,276
483,348,215,87,171,146,906,443,140,122,276
483,350,217,85,167,146,1066,447,149,119,271
483,351,216,87,167,150,989,451,142,132,271
481,351,218,87,165,144,987,453,144,128,277
484,349,218,87,168,145,812,664,143,132,272
484,349,216,87,171,152,1253,453,146,130,271
479,350,217,87,169,144,831,2117,148,130,276
479,350,215,87,169,144,5407,506,150,124,277
481,348,215,87,169,144,1002,477,144,122,280
485,348,215,85,171,150,1008,481,146,130,271
481,348,217,87,167,144,774,441,148,120,268
484,349,216,87,167,146,1336,451,149,121,277
483,352,217,85,171,148,1162,459,144,120,278
483,348,217,87,169,148,914,445,150,120,272
485,350,219,84,170,152,1142,447,146,128,280
490,349,217,84,231,146,1376,457,144,122,276
483,349,216,87,173,144,853,457,142,130,268
481,347,218,85,169,148,1030,453,142,120,270
479,353,216,85,171,148,981,457,148,128,283
486,347,217,86,164,151,1046,461,150,128,268
483,352,215,85,171,150,1016,451,148,128,272
485,346,219,85,167,150,916,1887,151,121,269
489,348,219,85,167,150,1056,449,153,120,266
485,349,218,87,167,146,1660,446,143,130,278
500,351,217,86,168,153,867,457,148,130,270
498,351,217,88,168,145,1302,453,148,120,272
506,347,219,88,164,150,1319,447,148,120,272
500,347,217,88,168,153,867,451,150,128,277
480,349,215,88,170,149,1283,449,149,128,280
479,347,218,85,167,146,796,449,144,122,266
479,351,218,87,165,150,768,459,146,130,270
484,351,217,86,166,149,973,448,147,132,268
481,350,217,83,169,144,874,461,239,132,277
500,349,217,86,170,148,1036,457,143,128,276
502,349,218,87,166,147,928,457,150,128,277
499,350,217,85,167,148,797,453,152,132,272
502,349,216,87,171,148,1141,1873,147,130,278
506,349,217,84,168,146,990,444,149,122,270
506,349,217,86,170,145,1060,451,146,122,270
508,347,218,87,167,146,981,455,144,120,278
489,350,217,87,175,144,920,457,151,120,274
504,351,217,88,168,149,1373,447,152,122,272
508,352,217,85,169,142,1062,455,151,124,276
506,349,216,87,167,146,910,453,148,120,280
502,349,217,84,174,151,987,463,148,130,280
482,347,219,84,168,153,804,445,144,130,266
483,349,216,87,169,146,883,453,145,130,276
480,347,219,86,164,144,817,469,146,130,275
479,349,218,85,227,149,1042,459,144,130,276
484,349,218,85,171,150,963,455,140,132,272
494,349,218,83,173,148,1146,453,142,132,284
481,348,217,85,167,154,1146,1885,148,130,277
485,349,216,87,169,150,817,455,154,130,276
504,349,218,87,171,146,1058,522,142,130,279
481,351,220,85,167,146,961,457,148,130,276
505,350,217,87,169,150,795,467,148,128,278
506,347,219,84,170,149,916,583,150,120,268
506,348,215,87,167,156,896,439,152,122,274
504,349,218,83,169,152,1070,451,151,120,272
500,350,217,83,171,152,1339,457,148,128,274
484,347,217,86,170,149,1202,459,142,122,276
